code,trading_code,name,contract_type,exchange_code,currency_id,underlying_symbol,underlying_name,underlying_exchange,underlying_type,exercise_price,contract_unit,contract_status,list_date,list_reason,list_price,high_limit,low_limit,expire_date,last_trade_date,exercise_date,delivery_date,is_adjust,delist_date,delist_reason
10004405.XSHG,510050C2303A02650,50ETF购3月2613A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.613,10142,DELIST,2022-07-28,合约到期,0.3299,0.6166,0.0432,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004406.XSHG,510050C2303A02700,50ETF购3月2662A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.662,10142,DELIST,2022-07-28,合约到期,0.2971,0.5838,0.0104,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004407.XSHG,510050C2303A02750,50ETF购3月2711A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.711,10142,DELIST,2022-07-28,合约到期,0.2669,0.5536,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004408.XSHG,510050C2303A02800,50ETF购3月2761A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.761,10142,DELIST,2022-07-28,合约到期,0.2383,0.525,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004409.XSHG,510050C2303A02850,50ETF购3月2810A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.81,10142,DELIST,2022-07-28,合约到期,0.2116,0.4983,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004410.XSHG,510050C2303A02900,50ETF购3月2859A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.859,10142,DELIST,2022-07-28,合约到期,0.1863,0.4697,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004411.XSHG,510050C2303A02950,50ETF购3月2909A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.909,10142,DELIST,2022-07-28,合约到期,0.1651,0.4435,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004412.XSHG,510050C2303A03000,50ETF购3月2958A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.958,10142,DELIST,2022-07-28,合约到期,0.1452,0.4186,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004413.XSHG,510050C2303A03100,50ETF购3月3057A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,3.057,10142,DELIST,2022-07-28,合约到期,0.112,0.3754,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004414.XSHG,510050P2303A02650,50ETF沽3月2613A,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.613,10142,DELIST,2022-07-28,合约到期,0.0815,0.3248,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004415.XSHG,510050P2303A02700,50ETF沽3月2662A,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.662,10142,DELIST,2022-07-28,合约到期,0.097,0.3503,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004416.XSHG,510050P2303A02750,50ETF沽3月2711A,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.711,10142,DELIST,2022-07-28,合约到期,0.1165,0.3798,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004417.XSHG,510050P2303A02800,50ETF沽3月2761A,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.761,10142,DELIST,2022-07-28,合约到期,0.1361,0.4094,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004418.XSHG,510050P2303A02850,50ETF沽3月2810A,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.81,10142,DELIST,2022-07-28,合约到期,0.1593,0.4426,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004419.XSHG,510050P2303A02900,50ETF沽3月2859A,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.859,10142,DELIST,2022-07-28,合约到期,0.1847,0.4714,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004420.XSHG,510050P2303A02950,50ETF沽3月2909A,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.909,10142,DELIST,2022-07-28,合约到期,0.2125,0.4992,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004421.XSHG,510050P2303A03000,50ETF沽3月2958A,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.958,10142,DELIST,2022-07-28,合约到期,0.2405,0.5272,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004422.XSHG,510050P2303A03100,50ETF沽3月3057A,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,3.057,10142,DELIST,2022-07-28,合约到期,0.3075,0.5942,0.0208,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004423.XSHG,510300C2303A03900,300ETF购3月3840A,CO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,3.84,10157,DELIST,2022-07-28,合约到期,0.4934,0.921,0.0658,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004424.XSHG,510300C2303A04000,300ETF购3月3938A,CO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,3.938,10157,DELIST,2022-07-28,合约到期,0.4305,0.8581,0.0029,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004425.XSHG,510300C2303A04100,300ETF购3月4037A,CO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.037,10157,DELIST,2022-07-28,合约到期,0.3718,0.7994,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004426.XSHG,510300C2303A04200,300ETF购3月4135A,CO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.135,10157,DELIST,2022-07-28,合约到期,0.3172,0.7448,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004427.XSHG,510300C2303A04300,300ETF购3月4234A,CO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.234,10157,DELIST,2022-07-28,合约到期,0.2693,0.6945,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004428.XSHG,510300C2303A04400,300ETF购3月4332A,CO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.332,10157,DELIST,2022-07-28,合约到期,0.2278,0.643,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004429.XSHG,510300C2303A04500,300ETF购3月4430A,CO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.43,10157,DELIST,2022-07-28,合约到期,0.1904,0.5956,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004430.XSHG,510300C2303A04600,300ETF购3月4529A,CO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.529,10157,DELIST,2022-07-28,合约到期,0.1588,0.554,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004431.XSHG,510300C2303A04700,300ETF购3月4627A,CO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.627,10157,DELIST,2022-07-28,合约到期,0.1325,0.5177,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004432.XSHG,510300P2303A03900,300ETF沽3月3840A,PO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,3.84,10157,DELIST,2022-07-28,合约到期,0.1226,0.475,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004433.XSHG,510300P2303A04000,300ETF沽3月3938A,PO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,3.938,10157,DELIST,2022-07-28,合约到期,0.1561,0.5285,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004434.XSHG,510300P2303A04100,300ETF沽3月4037A,PO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.037,10157,DELIST,2022-07-28,合约到期,0.1921,0.5845,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004435.XSHG,510300P2303A04200,300ETF沽3月4135A,PO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.135,10157,DELIST,2022-07-28,合约到期,0.2351,0.6475,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004436.XSHG,510300P2303A04300,300ETF沽3月4234A,PO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.234,10157,DELIST,2022-07-28,合约到期,0.2863,0.7139,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004437.XSHG,510300P2303A04400,300ETF沽3月4332A,PO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.332,10157,DELIST,2022-07-28,合约到期,0.3444,0.772,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004438.XSHG,510300P2303A04500,300ETF沽3月4430A,PO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.43,10157,DELIST,2022-07-28,合约到期,0.4085,0.8361,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004439.XSHG,510300P2303A04600,300ETF沽3月4529A,PO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.529,10157,DELIST,2022-07-28,合约到期,0.4757,0.9033,0.0481,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004440.XSHG,510300P2303A04700,300ETF沽3月4627A,PO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,4.627,10157,DELIST,2022-07-28,合约到期,0.5512,0.9788,0.1236,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
90001173.XSHE,159919C2303M003900,沪深300ETF购3月3900,CO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,3.9,10000,DELIST,2022-07-28,合约到期,0.4955,0.9236,0.0674,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001174.XSHE,159919C2303M004000,沪深300ETF购3月4000,CO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.0,10000,DELIST,2022-07-28,合约到期,0.4337,0.8618,0.0056,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001175.XSHE,159919C2303M004100,沪深300ETF购3月4100,CO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.1,10000,DELIST,2022-07-28,合约到期,0.3753,0.8034,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001176.XSHE,159919C2303M004200,沪深300ETF购3月4200,CO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.2,10000,DELIST,2022-07-28,合约到期,0.3231,0.7512,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001177.XSHE,159919C2303M004300,沪深300ETF购3月4300,CO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.3,10000,DELIST,2022-07-28,合约到期,0.2748,0.701,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001178.XSHE,159919C2303M004400,沪深300ETF购3月4400,CO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.4,10000,DELIST,2022-07-28,合约到期,0.2324,0.6486,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001179.XSHE,159919C2303M004500,沪深300ETF购3月4500,CO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.5,10000,DELIST,2022-07-28,合约到期,0.1964,0.6026,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001180.XSHE,159919C2303M004600,沪深300ETF购3月4600,CO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.6,10000,DELIST,2022-07-28,合约到期,0.1638,0.56,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001181.XSHE,159919C2303M004700,沪深300ETF购3月4700,CO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.7,10000,DELIST,2022-07-28,合约到期,0.1375,0.5237,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001182.XSHE,159919P2303M003900,沪深300ETF沽3月3900,PO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,3.9,10000,DELIST,2022-07-28,合约到期,0.1271,0.479,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001183.XSHE,159919P2303M004000,沪深300ETF沽3月4000,PO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.0,10000,DELIST,2022-07-28,合约到期,0.159,0.5309,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001184.XSHE,159919P2303M004100,沪深300ETF沽3月4100,PO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.1,10000,DELIST,2022-07-28,合约到期,0.1961,0.588,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001185.XSHE,159919P2303M004200,沪深300ETF沽3月4200,PO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.2,10000,DELIST,2022-07-28,合约到期,0.2391,0.651,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001186.XSHE,159919P2303M004300,沪深300ETF沽3月4300,PO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.3,10000,DELIST,2022-07-28,合约到期,0.2904,0.7185,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001187.XSHE,159919P2303M004400,沪深300ETF沽3月4400,PO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.4,10000,DELIST,2022-07-28,合约到期,0.3465,0.7746,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001188.XSHE,159919P2303M004500,沪深300ETF沽3月4500,PO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.5,10000,DELIST,2022-07-28,合约到期,0.4093,0.8374,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001189.XSHE,159919P2303M004600,沪深300ETF沽3月4600,PO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.6,10000,DELIST,2022-07-28,合约到期,0.4784,0.9065,0.0503,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001190.XSHE,159919P2303M004700,沪深300ETF沽3月4700,PO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,4.7,10000,DELIST,2022-07-28,合约到期,0.5512,0.9793,0.1231,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004443.XSHG,510300C2303A03800,300ETF购3月3741A,CO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,3.741,10157,DELIST,2022-08-01,价格波动,0.5207,0.9427,0.0987,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004444.XSHG,510300P2303A03800,300ETF沽3月3741A,PO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,3.741,10157,DELIST,2022-08-01,价格波动,0.1184,0.4564,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
90001193.XSHE,159919C2303M003800,沪深300ETF购3月3800,CO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,3.8,10000,DELIST,2022-08-01,价格波动,0.5125,0.9351,0.0899,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001194.XSHE,159919P2303M003800,沪深300ETF沽3月3800,PO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,3.8,10000,DELIST,2022-08-01,价格波动,0.131,0.4684,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004447.XSHG,510050C2303A02600,50ETF购3月2564A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.564,10142,DELIST,2022-08-02,价格波动,0.3262,0.608,0.0444,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004448.XSHG,510050P2303A02600,50ETF沽3月2564A,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.564,10142,DELIST,2022-08-02,价格波动,0.0814,0.3196,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004451.XSHG,510050C2303A02550,50ETF购3月2514A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.514,10142,DELIST,2022-08-03,价格波动,0.3311,0.6081,0.0541,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004452.XSHG,510050P2303A02550,50ETF沽3月2514A,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.514,10142,DELIST,2022-08-03,价格波动,0.0867,0.3197,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004455.XSHG,510300C2303A03700,300ETF购3月3643A,CO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,3.643,10157,DELIST,2022-08-04,价格波动,0.5222,0.9344,0.11,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004456.XSHG,510300P2303A03700,300ETF沽3月3643A,PO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,3.643,10157,DELIST,2022-08-04,价格波动,0.1155,0.4433,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
90001197.XSHE,159919C2303M003700,沪深300ETF购3月3700,CO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,3.7,10000,DELIST,2022-08-04,价格波动,0.5131,0.9255,0.1007,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001198.XSHE,159919P2303M003700,沪深300ETF沽3月3700,PO,XSHE,CNY,159919.XSHE,嘉实沪深300ETF,XSHE,ETF,3.7,10000,DELIST,2022-08-04,价格波动,0.1232,0.4508,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004551.XSHG,510500C2303M05000,500ETF购3月5000,CO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,5.0,10000,DELIST,2022-09-19,合约新挂,1.0855,1.6811,0.4899,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004552.XSHG,510500C2303M05250,500ETF购3月5250,CO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,5.25,10000,DELIST,2022-09-19,合约新挂,0.883,1.4786,0.2874,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004553.XSHG,510500C2303M05500,500ETF购3月5500,CO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,5.5,10000,DELIST,2022-09-19,合约新挂,0.7015,1.2971,0.1059,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004554.XSHG,510500C2303M05750,500ETF购3月5750,CO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,5.75,10000,DELIST,2022-09-19,合约新挂,0.544,1.1396,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004555.XSHG,510500C2303M06000,500ETF购3月6000,CO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,6.0,10000,DELIST,2022-09-19,合约新挂,0.4116,1.0028,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004556.XSHG,510500C2303M06250,500ETF购3月6250,CO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,6.25,10000,DELIST,2022-09-19,合约新挂,0.3041,0.8703,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004557.XSHG,510500C2303M06500,500ETF购3月6500,CO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,6.5,10000,DELIST,2022-09-19,合约新挂,0.2194,0.7606,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004558.XSHG,510500C2303M06750,500ETF购3月6750,CO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,6.75,10000,DELIST,2022-09-19,合约新挂,0.1549,0.6711,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004559.XSHG,510500C2303M07000,500ETF购3月7000,CO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,7.0,10000,DELIST,2022-09-19,合约新挂,0.107,0.5982,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004560.XSHG,510500P2303M05000,500ETF沽3月5000,PO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,5.0,10000,DELIST,2022-09-19,合约新挂,0.105,0.5094,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004561.XSHG,510500P2303M05250,500ETF沽3月5250,PO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,5.25,10000,DELIST,2022-09-19,合约新挂,0.1657,0.6201,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004562.XSHG,510500P2303M05500,500ETF沽3月5500,PO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,5.5,10000,DELIST,2022-09-19,合约新挂,0.2473,0.7517,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004563.XSHG,510500P2303M05750,500ETF沽3月5750,PO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,5.75,10000,DELIST,2022-09-19,合约新挂,0.2513,0.8057,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004564.XSHG,510500P2303M06000,500ETF沽3月6000,PO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,6.0,10000,DELIST,2022-09-19,合约新挂,0.3651,0.9607,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004565.XSHG,510500P2303M06250,500ETF沽3月6250,PO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,6.25,10000,DELIST,2022-09-19,合约新挂,0.5038,1.0994,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004566.XSHG,510500P2303M06500,500ETF沽3月6500,PO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,6.5,10000,DELIST,2022-09-19,合约新挂,0.6654,1.261,0.0698,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004567.XSHG,510500P2303M06750,500ETF沽3月6750,PO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,6.75,10000,DELIST,2022-09-19,合约新挂,0.8471,1.4427,0.2515,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004568.XSHG,510500P2303M07000,500ETF沽3月7000,PO,XSHG,CNY,510500.XSHG,南方中证500ETF,XSHG,ETF,7.0,10000,DELIST,2022-09-19,合约新挂,1.0454,1.641,0.4498,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
10004571.XSHG,510050C2303A02500,50ETF购3月2465A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.465,10142,DELIST,2022-09-19,价格波动,0.3274,0.5998,0.055,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004572.XSHG,510050P2303A02500,50ETF沽3月2465A,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.465,10142,DELIST,2022-09-19,价格波动,0.0512,0.2788,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004575.XSHG,510300C2303A03600,300ETF购3月3544A,CO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,3.544,10157,DELIST,2022-09-19,价格波动,0.489,0.889,0.089,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004576.XSHG,510300P2303A03600,300ETF沽3月3544A,PO,XSHG,CNY,510300.XSHG,华泰柏瑞沪深300ETF,XSHG,ETF,3.544,10157,DELIST,2022-09-19,价格波动,0.0743,0.3943,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
90001345.XSHE,159922C2303M005000,中证500ETF购3月5000,CO,XSHE,CNY,159922.XSHE,嘉实中证500ETF,XSHE,ETF,5.0,10000,DELIST,2022-09-19,合约新挂,1.2067,1.8142,0.5992,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001346.XSHE,159922C2303M005250,中证500ETF购3月5250,CO,XSHE,CNY,159922.XSHE,嘉实中证500ETF,XSHE,ETF,5.25,10000,DELIST,2022-09-19,合约新挂,0.9934,1.6009,0.3859,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001347.XSHE,159922C2303M005500,中证500ETF购3月5500,CO,XSHE,CNY,159922.XSHE,嘉实中证500ETF,XSHE,ETF,5.5,10000,DELIST,2022-09-19,合约新挂,0.797,1.4045,0.1895,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
90001348.XSHE,159922C2303M005750,中证500ETF购3月5750,CO,XSHE,CNY,159922.XSHE,嘉实中证500ETF,XSHE,ETF,5.75,10000,DELIST,2022-09-19,合约新挂,0.6227,1.2302,0.0152,2023-03-22,2023-03-22,2023-03-22,2023-03-23,0,2023-03-23,合约到期
